流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
74987,CHIN1050,10128320,02,音樂作品欣賞二,2.00,蔡世豪,1,3,四67,,180,0,6,168,162,200,6
21919,CHIN3036,10134590,,東南亞文史學堂,3.00,高嘉謙,1,2,四345,,100,0,10,86,86,24,4
69175,CHIN4096,10142800,,東坡詞,3.00,劉少雄,1,2,二789,,150,0,10,131,131,57,9
56010,FL3245,10236600,,公共演說、修辭敘述、講稿撰寫,3.00,傅友祥,15,2,四567,,16,0,0,16,16,9,0
17321,FL4199,10246310,,藝術與精神分析,3.00,沈志中,1,2,四678,,40,0,0,39,39,37,1
83504,Hist1511,10340270,,歷史、醫療與社會,2.00,張嘉鳳,2,2,二67,,50,0,0,44,44,46,6
85279,Hist1537,10351150,01,海峽兩岸關係史二,2.00,李君山,2,2,二67,,80,0,10,69,69,63,1
84510,Hist1537,10351150,02,海峽兩岸關係史二,2.00,李君山,2,2,五34,,80,0,10,65,65,69,5
21933,Hist1541,10351230,,臺灣歷史與人物,2.00,歐素瑛,23,2,三89,,80,0,20,57,57,43,3
13093,Hist2096,10351360,,中國古代的社會與生活,2.00,張嘉鳳,2,2,二34,,50,0,0,46,46,36,4
25440,Hist3092,10351400,,清代臺灣的移民開發與社會,2.00,李文良,2,3,三34,,100,0,0,94,94,25,6
10624,Hist1618,10351540,,近代臺灣的歷程,3.00,周婉窈,2,2,二89,10,,125,0,0,114,114,16,11
52256,Hist2104,10351660,,中國傳統法律、文化與社會,3.00,陳俊強,2,2,四789,AU0,135,110,8,121,104,32,6
36433,Hist1591,10351860,,現代中國與世界：1911-1979,3.00,王遠義,2,2,二89,10,,200,160,20,164,144,28,16
26179,Hist2109,10351890,,戰後台灣史,2.00,歐素瑛,2,2,三67,,100,80,20,76,76,88,4
18704,Hist1597,10352430,,探索台灣殖民都市空間,3.00,顏杏如,3,2,三89,10,,50,0,0,47,47,34,3
60769,Hist1600,10352470,,東亞現代史,3.00,羅士傑,2,3,三678,,200,0,40,133,133,24,27
21833,Hist3134,10352820,,遼宋金的物質世界,3.00,許雅惠,2,2,二89,10,AU0,80,60,0,57,52,14,23
78108,Hist1609,10353050,,東亞近代史,3.00,長谷川正人,23,2,四345,,110,0,2,100,100,19,8
33952,Hist1619,10353190,,臺灣的文化資產巡禮,3.00,陳冠妃,2,3,四234,,60,0,0,53,53,29,7
40793,Hist1627,10353280,,物件中的日本史,3.00,曾寶滿,23,2,五678,,80,0,0,78,78,77,2
72406,Hist1628,10353290,,中國心性修練方法論概述,2.00,吳展良,4,2,五89,,50,0,0,47,47,31,3
19016,Hist1630,10353310,,東亞歷史上的政教關係,3.00,郭珮君,23,3,二234,,80,0,0,75,75,13,5
38955,Phl1910,10407400,,東西哲學家的生命智慧,2.00,李賢中,4,2,五34,,100,0,10,85,85,42,5
53501,Phl1413,10408700,,中國哲學導論,3.00,陳志強,4,3,二234,,30,0,0,24,24,2,6
56866,Phl1511,10412100,01,邏輯,2.00,曾漢塘,4,3,五34,,100,0,6,81,81,62,13
55184,Phl1511,10412100,02,邏輯,2.00,曾漢塘,4,3,五67,,100,0,6,88,88,76,6
27304,Anth2003,105201C0,,文化人類學丙,3.00,羅素玫,35,2,二789,,80,0,4,71,52,41,5
73087,LIS1019,10612300,,資訊資源與圖書館,2.00,羅思嘉,5,2,三89,,20,20,0,17,17,8,3
30558,Thea1104,10912100,,戲曲後花園,2.00,鍾幸玲,1,2,一67,,80,0,2,77,77,164,1
30493,Thea1106,10913100,,劇場實驗：表演,2.00,符宏征,1,2,四9,10A,,20,0,0,20,20,15,0
85032,Thea1117,10915300,,當代藝術研究一,2.00,駱麗真,1,2,一BC,,20,0,0,19,16,38,1
45322,Thea2820,10924630,,沉浸式科技劇場專題實作,3.00,羅禾淋,1,2,一678,,30,18,0,26,19,20,4
34715,Thea2831,10924730,,劇場設計賞析,2.00,李柏霖,1,2,五34,,25,20,0,23,18,47,2
70528,LIS5079,126U1440,,資訊視覺化,3.00,蔡天怡,6,2,二234,,30,5,0,28,5,42,2
28325,ARHY1011,14111100,,東亞陶瓷文化史,3.00,施靜菲,13,2,四678,,60,40,10,40,40,14,10
20020,ARHY1018,14111800,,日本建築史導論,3.00,堀憲二,2,2,三789,,60,40,10,38,38,71,12
60240,ARHY1025,14112500,,台灣美術踏查,3.00,邱函妮,1,2,三345,,50,40,10,36,36,27,4
42251,ARHY1029,14112900,,墓葬中的中國藝術史,3.00,林郡儀,12,2,二89,10,,50,40,10,37,37,25,3
28736,LING5410,142U0840,,臺灣語言與社會,3.00,江文瑜,25,2,四789,,200,0,4,68,68,10,128
84599,Music3007,14430500,,古琴音樂欣賞與實習【一】,2.00,李孔元,1,2,二67,,16,0,0,0,0,0,16
51209,Music5008,144U0240,,爵士音樂,3.00,陳人彥,15,2,二789,,15,0,10,0,0,0,5
35972,TwLit1022,14510170,,臺灣現代小說選讀,3.00,張俐璇,1,2,二567,,25,0,0,25,25,31,0
13757,TwLit1025,14510200,,在地酷兒文學與網路社群文化,3.00,鄭芳婷,1,2,四678,,24,0,2,20,20,27,2
80086,TwLit1039,14510490,,臺灣文學史概論,3.00,張文薰,12,3,五678,,30,0,0,26,26,17,4
71287,TwLit1043,14510530,,中國古典文學與文藝思潮,3.00,黃美娥,1,3,二89,10,,120,0,4,92,92,18,24
14022,TwLit1044,14510540,,影像與臺灣文化,3.00,謝欣芩,1,3,二345,,35,0,2,28,28,46,5
37763,TwLit1047,14510570,,臺灣現代散文選讀：情感與人文,3.00,楊雅儒,1,2,三345,,45,0,0,41,41,42,4
67393,PTCSL7930,146U9340,,華語劇場與文化批評,3.00,汪俊彥,1,2,二789,,45,0,4,34,34,11,7
79134,Phys1007,202101A2,01,普通物理學甲下,3.00,呂榮祥,7,2,二34四34,,60,0,0,47,9,2,13
28647,Phys1007,202101A2,02,普通物理學甲下,3.00,王名儒,7,2,二34四34,CD1,75,0,0,73,9,0,2
54342,Phys1007,202101A2,03,普通物理學甲下,3.00,梁國淦,7,2,二34四34,,80,0,0,77,7,3,3
13785,Phys1007,202101A2,10,普通物理學甲下,3.00,陳凱風,7,2,二34四34,CD1,200,0,0,162,2,0,38
17973,Phys1007,202101A2,13,普通物理學甲下,3.00,趙治宇,7,2,二34四34,CD1,130,0,0,135,15,0,0
38752,Phys1007,202101A2,15,普通物理學甲下,3.00,梁啟德,7,2,三34五34,CD1,120,0,0,120,1,1,0
86333,Phys1007,202101A2,18,普通物理學甲下,3.00,楊珮芸,7,3,一89五34,CD1,70,0,4,54,9,0,12
50653,Phys1007,202101A2,19,普通物理學甲下,3.00,易富國,7,2,三34五34,CD1,48,0,0,35,2,0,13
66273,Phys1008,202101B0,05,普通物理學乙,3.00,楊珮芸,67,3,一234,,75,0,0,22,22,3,53
87546,Phys1010,202101B2,02,普通物理學乙下,3.00,胡德邦,7,2,一9,10三67,CD1,70,0,0,58,9,0,12
82070,Phys1024,20210460,,演化、宇宙、人,2.00,侯維恕,78,2,五34,,60,0,6,49,49,30,5
28094,Chem1006,203101A2,01,普通化學甲下,3.00,李弘文,7,2,三34五34,AU0*CD1,180,0,0,178,4,1,2
53399,Chem1006,203101A2,02,普通化學甲下,3.00,蔡蘊明,7,2,三34五34,AU0*CD1,120,0,0,95,6,0,25
67645,Chem1009,203101C0,02,普通化學丙,3.00,林至闓,7,2,一34四34,AY1,180,0,0,170,18,1,10
54547,AtmSci1007,20912000,,天氣與氣候,2.00,吳明進,7,2,四89,,70,0,0,66,66,51,4
