流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
34825,FL2137,10222722,,阿拉伯文二下,3.00,初雅士,,2,二ABCD,,30,20,4,3,0,1,23
77655,FL2024,10222812,,古希臘文一下,3.00,范吉歐,,1,一67四67,,24,0,8,10,0,0,6
21762,FL2026,10222822,01,義大利文一下,3.00,歐陽永樂,,3,一6789,,60,50,10,12,0,0,38
69180,FL2028,10222832,,葡萄牙文一下,3.00,林祖誠,,2,二67四67,,30,0,8,10,0,3,12
20752,FL2030,10222842,,荷蘭文一下,3.00,敖馨郁,,3,一34四34,,40,36,4,20,0,1,16
39419,FL2032,10222852,,土耳其文一下,3.00,初雅士,,2,一ABCD,,30,15,4,6,0,1,20
32078,FL2132,10222862,,波蘭文一下,3.00,陳音卉,,2,三56四56,,48,28,20,13,0,1,15
16104,FL2170,10222882,,捷克文一下,3.00,林學紀,,2,二56五56,,41,0,4,17,0,3,20
80208,FL2004,10223160,,十七與十八世紀英國文學,3.00,奇邁可,,2,二89五6,CD1*AU1,60,0,0,0,0,77,60
55548,FL3003,10223180,,維多利亞時期英國文學,3.00,王沐嵐,,2,三234,CD1,50,0,0,0,0,95,50
56597,FL3004,10223190,,二十世紀英國文學,3.00,陳春燕,,2,三234,CD1*AU2,50,0,0,0,0,46,50
30953,FL2006,10223300,,歐洲文學1800以後,3.00,廖咸浩,,2,五234,CD1,60,0,0,0,0,80,60
57245,FL2172,10223380,,法語口語訓練二,1.00,陳維玲,,2,三2,,40,0,10,0,0,17,30
56598,FL2226,10223440,,西班牙文聽講訓練（中級）,1.00,張雯媛,,2,一,10,,20,0,0,0,0,17,20
71780,FL2174,10224280,,當代愛爾蘭小說,3.00,黃山耘,,2,一678,CD1,30,0,4,0,0,52,26
72347,FL2207,10224460,,英國現代詩,3.00,曾麗玲,1*,2,四678,,50,25,0,0,0,173,50
25758,FL2216,10224560,,語音學一,3.00,郭貞秀,,2,二567,,20,0,0,0,0,61,20
79546,FL2222,10224590,,藝術觀視中的能動性以及氛圍調整,3.00,簡瑞碧,,3,四345,AU1,20,0,10,0,0,44,10
33643,FL2224,10224690,,批判閱讀與文化探索二,3.00,柏逸嘉,,2,五678,AU1,30,0,4,0,0,32,26
18431,FL2149,10224700,,翻譯與外語教學,3.00,張嘉倩,,2,五678,,20,0,0,0,0,62,20
61892,FL4179,10224770,,後殖民亞洲小說,3.00,柏逸嘉,,2,二89,10,CD1,35,0,4,0,0,85,31
22873,FL2183,10224840,,瑪麗雪萊與十九世紀小說,3.00,翁怡錚,,2,二89,10,,40,0,0,0,0,132,40
82405,FL2159,10225010,,當代英美劇場中的精神失能,2.00,施純宜,,2,五67,,15,0,0,0,0,57,15
77954,FL3299,10230030,,音韻學二,3.00,石書豪,,2,二678,,20,0,0,0,0,12,20
34724,FL3202,10230490,,新聞媒體與文化,2.00,鍾玉玨,,2,五12,,25,0,0,0,0,0,25
54581,FL3303,10230580,,英語數位修辭理論與實作,3.00,翁家傑,,2,二89,10,CD1*AU2,20,0,0,0,0,0,20
14644,FL3008,10231302,01,翻譯及習作下,2.00,蔡毓芬,,2,四234,CD1*AY3,12,0,0,10,0,0,2
49437,FL3008,10231302,02,翻譯及習作下,2.00,王珊珊,,2,二234,CD1*AY3,13,0,0,13,0,0,0
80013,FL3008,10231302,03,翻譯及習作下,2.00,莊世全,,2,二234,CD1*AY3,13,0,0,13,0,0,0
44646,FL3008,10231302,04,翻譯及習作下,2.00,蔡自青,,2,二234,CD1*AY3,13,0,0,13,0,0,0
